Employee Name,Department,Position,Leave Type,Start Date,End Date,Days Taken,Total Leave Entitlement,Leave Taken So Far,Remaining Leaves,month
Michael Moore,IT,Software Engineer,Maternity Leave,21/12/2023,25/12/2023,5,21,4,12,Dec
Michael Collier,HR,HR Manager,Sick Leave,1/12/2024,6/12/2024,6,28,5,17,Dec
Ashley Rogers,Finance,Accountant,Maternity Leave,8/06/2024,11/06/2024,4,23,17,2,Jun
Kelly Alexander,Finance,Accountant,Earned Leave,3/11/2024,8/11/2024,6,28,19,3,Nov
Corey Chung,Finance,Financial Analyst,Maternity Leave,1/03/2024,6/03/2024,6,21,6,9,Mar
Daniel Schmidt,Finance,Financial Analyst,Sick Leave,28/08/2024,5/09/2024,9,30,15,6,Aug
Nicole Day,Operations,Operations Manager,Earned Leave,1/08/2024,6/08/2024,6,26,7,13,Aug
Justin Waller,HR,HR Manager,Paternity Leave,24/09/2024,30/09/2024,7,24,8,9,Sep
Gavin Johnson,Finance,Accountant,Maternity Leave,25/01/2024,31/01/2024,7,27,1,19,Jan
Kevin Wall,Marketing,SEO Analyst,Sick Leave,22/04/2024,26/04/2024,5,30,24,1,Apr
Amy Gaines,HR,HR Manager,Sick Leave,22/03/2024,27/03/2024,6,22,6,10,Mar
Sally Chapman,IT,System Administrator,Earned Leave,25/02/2024,2/03/2024,7,24,7,10,Feb
Robert Jones,IT,Software Engineer,Paternity Leave,2/11/2024,8/11/2024,7,28,0,21,Nov
Daniel Gomez,HR,Recruiter,Earned Leave,18/07/2024,20/07/2024,3,24,18,3,Jul
Randy Reyes,IT,System Administrator,Paternity Leave,31/12/2023,7/01/2024,8,22,12,2,Dec
Phillip Alvarez,Finance,Financial Analyst,Casual Leave,17/04/2024,20/04/2024,4,30,9,17,Apr
Kathryn Hobbs,Operations,Operations Manager,Earned Leave,25/03/2024,2/04/2024,9,29,19,1,Mar
Joseph James MD,Marketing,SEO Analyst,Casual Leave,20/06/2024,27/06/2024,8,24,13,3,Jun
Dalton Barber,Operations,Logistics Coordinator,Maternity Leave,24/09/2024,1/10/2024,8,22,13,1,Sep
Holly Parsons,IT,Software Engineer,Earned Leave,15/09/2024,22/09/2024,8,25,16,1,Sep
Elizabeth Cook,Finance,Accountant,Sick Leave,18/04/2024,25/04/2024,8,29,15,6,Apr
Joseph Lawrence,IT,System Administrator,Paternity Leave,22/09/2024,28/09/2024,7,27,0,20,Sep
Joanna Frye,Marketing,Marketing Specialist,Casual Leave,18/10/2024,26/10/2024,9,28,1,18,Oct
Elizabeth Sullivan,HR,HR Manager,Casual Leave,4/12/2024,12/12/2024,9,27,8,10,Dec
Vincent Gonzalez,HR,Recruiter,Earned Leave,31/08/2024,9/09/2024,10,29,12,7,Aug
Danielle George,Operations,Operations Manager,Paternity Leave,29/03/2024,3/04/2024,6,23,5,12,Mar
Kelly Hendrix,HR,HR Manager,Earned Leave,6/12/2024,11/12/2024,6,22,11,5,Dec
Tammy Watson,IT,System Administrator,Maternity Leave,7/06/2024,9/06/2024,3,25,13,9,Jun
Peter Ryan,IT,System Administrator,Casual Leave,2/07/2024,10/07/2024,9,30,7,14,Jul
Sharon Aguilar,Finance,Financial Analyst,Maternity Leave,21/05/2024,28/05/2024,8,20,7,5,May
Deanna Huang,Operations,Logistics Coordinator,Casual Leave,12/09/2024,17/09/2024,6,21,2,13,Sep
Chase Golden,HR,HR Manager,Casual Leave,28/03/2024,5/04/2024,9,26,0,17,Mar
Haley Holmes,Finance,Accountant,Casual Leave,23/04/2024,28/04/2024,6,21,11,4,Apr
Jennifer Campbell,Finance,Accountant,Casual Leave,1/10/2024,1/10/2024,1,22,0,21,Oct
Jennifer Santiago,Operations,Operations Manager,Sick Leave,3/12/2024,4/12/2024,2,25,5,18,Dec
Luke Jackson,HR,Recruiter,Sick Leave,21/03/2024,27/03/2024,7,25,8,10,Mar
Alyssa Adams,Operations,Logistics Coordinator,Sick Leave,18/03/2024,18/03/2024,1,28,7,20,Mar
Brenda Wilson,HR,HR Manager,Earned Leave,17/09/2024,23/09/2024,7,28,17,4,Sep
Kristina Lowe,Finance,Accountant,Sick Leave,16/12/2024,25/12/2024,10,23,7,6,Dec
Sean Shah,Operations,Logistics Coordinator,Sick Leave,12/06/2024,19/06/2024,8,20,5,7,Jun
Joseph Manning,Marketing,SEO Analyst,Sick Leave,6/09/2024,11/09/2024,6,28,9,13,Sep
Joseph Grant,IT,Software Engineer,Paternity Leave,10/07/2024,13/07/2024,4,24,9,11,Jul
Antonio Welch,Marketing,SEO Analyst,Casual Leave,5/01/2024,12/01/2024,8,24,10,6,Jan
Yolanda Holt,Operations,Logistics Coordinator,Casual Leave,30/03/2024,4/04/2024,6,30,19,5,Mar
Anna Acosta,Operations,Operations Manager,Sick Leave,1/08/2024,1/08/2024,1,29,6,22,Aug
Robert Hardy,Finance,Financial Analyst,Casual Leave,24/12/2023,31/12/2023,8,28,17,3,Dec
Crystal Wilson,Marketing,Marketing Specialist,Casual Leave,27/01/2024,3/02/2024,8,20,5,7,Jan
Dawn Carey,Operations,Operations Manager,Sick Leave,16/01/2024,17/01/2024,2,22,12,8,Jan
Caleb Terrell,IT,System Administrator,Earned Leave,22/01/2024,29/01/2024,8,20,7,5,Jan
Cynthia Strickland,HR,Recruiter,Sick Leave,24/09/2024,28/09/2024,5,28,11,12,Sep
Terri Salas,Marketing,SEO Analyst,Casual Leave,22/06/2024,24/06/2024,3,29,0,26,Jun
John Reese,IT,Software Engineer,Sick Leave,7/08/2024,11/08/2024,5,21,3,13,Aug
Scott Johnson,Operations,Logistics Coordinator,Maternity Leave,25/02/2024,2/03/2024,7,22,7,8,Feb
Kevin Orr,Operations,Operations Manager,Casual Leave,1/02/2024,10/02/2024,10,30,7,13,Feb
Julia Rivers,Marketing,Marketing Specialist,Earned Leave,20/08/2024,25/08/2024,6,20,9,5,Aug
Robert Cervantes,Finance,Financial Analyst,Paternity Leave,16/08/2024,19/08/2024,4,24,1,19,Aug
David Strong DVM,Finance,Financial Analyst,Earned Leave,21/01/2024,28/01/2024,8,26,10,8,Jan
Denise Collins,IT,Software Engineer,Maternity Leave,16/11/2024,25/11/2024,10,30,2,18,Nov
Terri Olsen,Finance,Accountant,Paternity Leave,26/02/2024,2/03/2024,6,23,16,1,Feb
Allison Evans,IT,Software Engineer,Casual Leave,7/06/2024,10/06/2024,4,25,10,11,Jun
Adam Solomon,HR,HR Manager,Sick Leave,18/04/2024,24/04/2024,7,27,6,14,Apr
Billy Duran,Finance,Accountant,Paternity Leave,14/10/2024,20/10/2024,7,26,2,17,Oct
Rita Hull,Marketing,Marketing Specialist,Maternity Leave,28/11/2024,29/11/2024,2,23,14,7,Nov
Martin Anderson,IT,System Administrator,Paternity Leave,9/05/2024,14/05/2024,6,28,11,11,May
Jessica Beard,Operations,Logistics Coordinator,Paternity Leave,20/01/2024,25/01/2024,6,25,15,4,Jan
Kenneth Smith,Operations,Operations Manager,Casual Leave,4/02/2024,8/02/2024,5,23,7,11,Feb
Todd Preston,Finance,Financial Analyst,Maternity Leave,7/06/2024,15/06/2024,9,27,17,1,Jun
Lauren Santos,Finance,Financial Analyst,Maternity Leave,25/12/2023,31/12/2023,7,30,12,11,Dec
Rachel Jones,Operations,Logistics Coordinator,Earned Leave,27/08/2024,28/08/2024,2,26,15,9,Aug
Tanya Cameron,HR,Recruiter,Sick Leave,10/05/2024,14/05/2024,5,27,13,9,May
Arthur Smith,Marketing,Marketing Specialist,Maternity Leave,2/04/2024,9/04/2024,8,22,10,4,Apr
Allison Richard,HR,HR Manager,Sick Leave,28/08/2024,28/08/2024,1,24,7,16,Aug
Jessica Chaney,Finance,Financial Analyst,Earned Leave,10/02/2024,19/02/2024,10,26,5,11,Feb
Lisa Richardson,Operations,Logistics Coordinator,Paternity Leave,23/11/2024,1/12/2024,9,30,13,8,Nov
Alexander Hahn,IT,System Administrator,Maternity Leave,23/07/2024,30/07/2024,8,22,14,0,Jul
Kristen Kerr,Marketing,Marketing Specialist,Maternity Leave,17/04/2024,26/04/2024,10,24,6,8,Apr
Kathryn Grant,IT,System Administrator,Paternity Leave,21/05/2024,27/05/2024,7,22,15,0,May
Erin Quinn,IT,Software Engineer,Paternity Leave,28/10/2024,28/10/2024,1,25,1,23,Oct
